Vreme;IdZadatka;Segment;Algoritam;DuzinaPuta;PosecenihCvorova;VremeMs;Izabran;SirinaLavirinta;VisinaLavirinta;BrojAktivnihVozila;BrojAktivnihZadataka
2026-08-10 21:01:08;6;Vozilo->Klijent;A*;19;68;0.3336;False;15;15;1;0
2026-08-10 21:01:08;6;Klijent->Odrediste;BFS;12;89;0.1183;False;15;15;1;0
2026-08-10 21:01:08;6;Klijent->Odrediste;Dijkstra;12;84;0.3618;False;15;15;1;0
2026-08-10 21:01:08;6;Klijent->Odrediste;A*;12;23;0.1076;True;15;15;1;0
2026-08-11 16:36:06;0;Vozilo->Klijent;BFS;31;223;1.1991;False;15;15;5;0
2026-08-11 16:36:06;0;Vozilo->Klijent;Dijkstra;31;223;2.8648;False;15;15;5;0
2026-08-11 16:36:06;0;Vozilo->Klijent;A*;31;157;0.9603;True;15;15;5;0
2026-08-11 16:36:06;0;Klijent->Odrediste;BFS;42;122;0.1331;True;15;15;5;0
2026-08-11 16:36:06;0;Klijent->Odrediste;Dijkstra;42;116;0.3004;False;15;15;5;0
2026-08-11 16:36:06;0;Klijent->Odrediste;A*;42;90;0.2472;False;15;15;5;0
2026-08-11 16:37:46;1;Vozilo->Klijent;BFS;1;4;0.0023;True;15;15;5;0
2026-08-11 16:37:46;1;Vozilo->Klijent;Dijkstra;1;2;0.0138;False;15;15;5;0
2026-08-11 16:37:46;1;Vozilo->Klijent;A*;1;2;0.0100;False;15;15;5;0
2026-08-11 16:37:46;1;Klijent->Odrediste;BFS;16;124;0.1401;True;15;15;5;0
2026-08-11 16:37:46;1;Klijent->Odrediste;Dijkstra;16;104;0.5213;False;15;15;5;0
2026-08-11 16:37:46;1;Klijent->Odrediste;A*;16;39;0.1620;False;15;15;5;0
2026-08-11 16:38:18;2;Vozilo->Klijent;BFS;7;24;0.0255;True;15;15;5;0
2026-08-11 16:38:18;2;Vozilo->Klijent;Dijkstra;7;21;0.0638;False;15;15;5;0
2026-08-11 16:38:18;2;Vozilo->Klijent;A*;7;10;0.0292;False;15;15;5;0
2026-08-11 16:38:18;2;Klijent->Odrediste;BFS;32;191;0.2305;True;15;15;5;0
2026-08-11 16:38:18;2;Klijent->Odrediste;Dijkstra;32;188;0.7522;False;15;15;5;0
2026-08-11 16:38:18;2;Klijent->Odrediste;A*;32;132;0.6009;False;15;15;5;0
2026-08-11 16:39:05;3;Vozilo->Klijent;BFS;8;73;0.3041;False;15;15;5;0
2026-08-11 16:39:05;3;Vozilo->Klijent;Dijkstra;8;62;0.2790;False;15;15;5;0
2026-08-11 16:39:05;3;Vozilo->Klijent;A*;8;16;0.0666;True;15;15;5;0
2026-08-11 16:39:05;3;Klijent->Odrediste;BFS;6;34;0.0343;True;15;15;5;0
2026-08-11 16:39:05;3;Klijent->Odrediste;Dijkstra;6;26;0.0887;False;15;15;5;0
2026-08-11 16:39:05;3;Klijent->Odrediste;A*;6;14;0.0458;False;15;15;5;0
2026-08-11 16:39:46;4;Vozilo->Klijent;BFS;6;24;0.0365;False;15;15;5;0
2026-08-11 16:39:46;4;Vozilo->Klijent;Dijkstra;6;19;0.0710;False;15;15;5;0
2026-08-11 16:39:46;4;Vozilo->Klijent;A*;6;8;0.0256;True;15;15;5;0
2026-08-11 16:39:46;4;Klijent->Odrediste;BFS;18;133;0.1872;True;15;15;5;0
2026-08-11 16:39:46;4;Klijent->Odrediste;Dijkstra;18;117;0.5152;False;15;15;5;0
2026-08-11 16:39:46;4;Klijent->Odrediste;A*;18;52;0.2025;False;15;15;5;0
2026-08-11 16:40:14;5;Vozilo->Klijent;BFS;2;9;0.0071;True;15;15;5;0
2026-08-11 16:40:14;5;Vozilo->Klijent;Dijkstra;2;5;0.0251;False;15;15;5;0
2026-08-11 16:40:14;5;Vozilo->Klijent;A*;2;3;0.0133;False;15;15;5;0
2026-08-11 16:40:14;5;Klijent->Odrediste;BFS;19;155;0.1763;True;15;15;5;0
2026-08-11 16:40:14;5;Klijent->Odrediste;Dijkstra;19;143;0.6883;False;15;15;5;0
2026-08-11 16:40:14;5;Klijent->Odrediste;A*;19;58;0.2317;False;15;15;5;0
2026-08-11 16:40:49;6;Vozilo->Klijent;BFS;12;70;0.0773;True;15;15;5;0
2026-08-11 16:40:49;6;Vozilo->Klijent;Dijkstra;12;62;0.2361;False;15;15;5;0
2026-08-11 16:40:49;6;Vozilo->Klijent;A*;12;41;0.1458;False;15;15;5;0
2026-08-11 16:40:49;6;Klijent->Odrediste;BFS;13;75;2.1845;False;15;15;5;0
2026-08-11 16:40:49;6;Klijent->Odrediste;Dijkstra;13;65;0.2753;False;15;15;5;0
2026-08-11 16:40:49;6;Klijent->Odrediste;A*;13;22;0.1387;True;15;15;5;0
2026-08-11 16:41:22;7;Vozilo->Klijent;BFS;2;6;0.0085;True;15;15;5;0
2026-08-11 16:41:22;7;Vozilo->Klijent;Dijkstra;2;5;0.0279;False;15;15;5;0
2026-08-11 16:41:22;7;Vozilo->Klijent;A*;2;4;0.2798;False;15;15;5;0
2026-08-11 16:41:22;7;Klijent->Odrediste;BFS;19;80;0.1064;True;15;15;5;0
2026-08-11 16:41:22;7;Klijent->Odrediste;Dijkstra;19;71;0.2253;False;15;15;5;0
2026-08-11 16:41:22;7;Klijent->Odrediste;A*;19;51;0.1620;False;15;15;5;0
2026-08-11 16:42:03;8;Vozilo->Klijent;BFS;2;11;0.0082;True;15;15;5;0
2026-08-11 16:42:03;8;Vozilo->Klijent;Dijkstra;2;6;0.0306;False;15;15;5;0
2026-08-11 16:42:03;8;Vozilo->Klijent;A*;2;3;0.0130;False;15;15;5;0
2026-08-11 16:42:03;8;Klijent->Odrediste;BFS;17;148;0.3528;False;15;15;5;0
2026-08-11 16:42:03;8;Klijent->Odrediste;Dijkstra;17;141;1.1424;False;15;15;5;0
2026-08-11 16:42:03;8;Klijent->Odrediste;A*;17;49;0.2889;True;15;15;5;0
2026-08-11 16:42:39;9;Vozilo->Klijent;BFS;8;42;0.0431;True;15;15;5;0
2026-08-11 16:42:39;9;Vozilo->Klijent;Dijkstra;8;34;0.1144;False;15;15;5;0
2026-08-11 16:42:39;9;Vozilo->Klijent;A*;8;13;0.0462;False;15;15;5;0
2026-08-11 16:42:39;9;Klijent->Odrediste;BFS;14;137;0.1621;True;15;15;5;0
2026-08-11 16:42:39;9;Klijent->Odrediste;Dijkstra;14;128;0.6100;False;15;15;5;0
2026-08-11 16:42:39;9;Klijent->Odrediste;A*;14;60;0.5971;False;15;15;5;0
2026-08-11 16:43:07;10;Vozilo->Klijent;BFS;14;143;0.1615;False;15;15;5;0
2026-08-11 16:43:07;10;Vozilo->Klijent;Dijkstra;14;125;0.7057;False;15;15;5;0
2026-08-11 16:43:07;10;Vozilo->Klijent;A*;14;32;0.1125;True;15;15;5;0
2026-08-11 16:43:07;10;Klijent->Odrediste;BFS;13;91;0.1095;True;15;15;5;0
2026-08-11 16:43:07;10;Klijent->Odrediste;Dijkstra;13;86;0.3292;False;15;15;5;0
2026-08-11 16:43:07;10;Klijent->Odrediste;A*;13;32;0.1942;False;15;15;5;0
2026-08-11 16:43:57;11;Vozilo->Klijent;BFS;8;66;0.0868;False;15;15;5;0
2026-08-11 16:43:57;11;Vozilo->Klijent;Dijkstra;8;56;0.3150;False;15;15;5;0
2026-08-11 16:43:57;11;Vozilo->Klijent;A*;8;13;0.0576;True;15;15;5;0
2026-08-11 16:43:57;11;Klijent->Odrediste;BFS;14;146;0.7040;False;15;15;5;0
2026-08-11 16:43:57;11;Klijent->Odrediste;Dijkstra;14;130;0.9514;False;15;15;5;0
2026-08-11 16:43:57;11;Klijent->Odrediste;A*;14;42;0.1902;True;15;15;5;0
2026-08-11 16:44:28;12;Vozilo->Klijent;BFS;2;5;0.0047;True;15;15;5;0
2026-08-11 16:44:28;12;Vozilo->Klijent;Dijkstra;2;4;0.0165;False;15;15;5;0
2026-08-11 16:44:28;12;Vozilo->Klijent;A*;2;3;0.0110;False;15;15;5;0
2026-08-11 16:44:28;12;Klijent->Odrediste;BFS;15;76;0.0866;True;15;15;5;0
2026-08-11 16:44:28;12;Klijent->Odrediste;Dijkstra;15;68;0.2246;False;15;15;5;0
2026-08-11 16:44:28;12;Klijent->Odrediste;A*;15;34;0.1131;False;15;15;5;0
2026-08-11 16:45:29;13;Vozilo->Klijent;BFS;7;22;0.0301;True;15;15;5;0
2026-08-11 16:45:29;13;Vozilo->Klijent;Dijkstra;7;18;0.0575;False;15;15;5;0
2026-08-11 16:45:29;13;Vozilo->Klijent;A*;7;12;0.0380;False;15;15;5;0
2026-08-11 16:45:29;13;Klijent->Odrediste;BFS;56;225;0.3133;True;15;15;5;0
2026-08-11 16:45:29;13;Klijent->Odrediste;Dijkstra;56;225;1.1109;False;15;15;5;0
2026-08-11 16:45:29;13;Klijent->Odrediste;A*;56;225;0.9267;False;15;15;5;0
2026-08-11 16:46:27;14;Vozilo->Klijent;BFS;9;85;0.0963;True;15;15;5;0
2026-08-11 16:46:27;14;Vozilo->Klijent;Dijkstra;9;71;0.3311;False;15;15;5;0
2026-08-11 16:46:27;14;Vozilo->Klijent;A*;9;33;0.2182;False;15;15;5;0
2026-08-11 16:46:27;14;Klijent->Odrediste;BFS;14;107;0.1924;False;15;15;5;0
2026-08-11 16:46:27;14;Klijent->Odrediste;Dijkstra;14;96;0.9365;False;15;15;5;0
2026-08-11 16:46:27;14;Klijent->Odrediste;A*;14;34;0.1703;True;15;15;5;0
2026-08-11 16:50:57;0;Vozilo->Klijent;BFS;1;4;0.0073;True;15;15;10;0
2026-08-11 16:50:57;0;Vozilo->Klijent;Dijkstra;1;3;0.3729;False;15;15;10;0
2026-08-11 16:50:57;0;Vozilo->Klijent;A*;1;2;0.3653;False;15;15;10;0
2026-08-11 16:50:57;0;Klijent->Odrediste;BFS;39;95;0.1779;True;15;15;10;0
2026-08-11 16:50:57;0;Klijent->Odrediste;Dijkstra;39;90;0.2168;False;15;15;10;0
2026-08-11 16:50:57;0;Klijent->Odrediste;A*;39;81;0.2544;False;15;15;10;0
